,100
0,3.13596
1,3.1424579999999995
2,3.1465080000000003
3,3.140958
4,3.143532
5,3.140082
6,3.1413899999999995
7,3.14232
8,3.13851
9,3.1397459999999997
10,3.142938
11,3.1422299999999996
12,3.1419479999999997
13,3.1459740000000003
14,3.140364
15,3.138024
16,3.141882
17,3.1369439999999997
18,3.1413719999999996
19,3.1427760000000005
20,3.140682
21,3.1350360000000004
22,3.147012
23,3.1353180000000003
24,3.140586
25,3.1434299999999995
26,3.139548
27,3.141876
28,3.1428599999999998
29,3.1468320000000003
30,3.139452
31,3.145008
32,3.141096
33,3.1433280000000003
34,3.1368840000000002
35,3.14445
36,3.137676
37,3.1346999999999996
38,3.14421
39,3.142902
40,3.14499
41,3.1411560000000005
42,3.140664
43,3.14628
44,3.144228
45,3.1425479999999997
46,3.139728
47,3.1426679999999996
48,3.139932
49,3.14031
50,3.1386659999999997
51,3.1416900000000005
52,3.1405139999999996
53,3.1425840000000003
54,3.145944
55,3.1449599999999998
56,3.138306
57,3.141984
58,3.141846
59,3.1411619999999996
60,3.14166
61,3.1434420000000003
62,3.1411439999999997
63,3.137346
64,3.144126
65,3.143166
66,3.142836
67,3.1448340000000004
68,3.138546
69,3.143562
70,3.1409640000000003
71,3.1462559999999997
72,3.136794
73,3.142026
74,3.142614
75,3.14625
76,3.1411560000000005
77,3.139062
78,3.14433
79,3.14259
80,3.140214
81,3.135534
82,3.141912
83,3.1431059999999995
84,3.137784
85,3.144996
86,3.1381620000000003
87,3.141114
88,3.1384860000000003
89,3.1365000000000003
90,3.14478
91,3.142296
92,3.14079
93,3.142884
94,3.138198
95,3.140364
96,3.139872
97,3.140712
98,3.1427760000000005
99,3.143562
