,0
0,2.996
1,3.004
2,3.016
3,3.02
4,3.02
5,3.02
6,3.02
7,3.024
8,3.028
9,3.032
10,3.032
11,3.032
12,3.036
13,3.036
14,3.04
15,3.04
16,3.048
17,3.048
18,3.048
19,3.048
20,3.052
21,3.052
22,3.052
23,3.052
24,3.056
25,3.056
26,3.056
27,3.056
28,3.056
29,3.06
30,3.06
31,3.06
32,3.06
33,3.06
34,3.06
35,3.06
36,3.064
37,3.064
38,3.064
39,3.064
40,3.064
41,3.064
42,3.064
43,3.064
44,3.064
45,3.064
46,3.064
47,3.068
48,3.068
49,3.068
50,3.068
51,3.068
52,3.068
53,3.068
54,3.072
55,3.072
56,3.072
57,3.072
58,3.072
59,3.076
60,3.076
61,3.076
62,3.08
63,3.08
64,3.08
65,3.08
66,3.08
67,3.08
68,3.08
69,3.08
70,3.08
71,3.08
72,3.08
73,3.08
74,3.084
75,3.084
76,3.084
77,3.084
78,3.088
79,3.088
80,3.088
81,3.088
82,3.092
83,3.092
84,3.092
85,3.092
86,3.092
87,3.092
88,3.092
89,3.092
90,3.092
91,3.092
92,3.096
93,3.096
94,3.096
95,3.096
96,3.096
97,3.096
98,3.1
99,3.1
100,3.1
101,3.1
102,3.1
103,3.1
104,3.1
105,3.1
106,3.1
107,3.1
108,3.104
109,3.104
110,3.104
111,3.104
112,3.104
113,3.104
114,3.104
115,3.104
116,3.104
117,3.104
118,3.104
119,3.104
120,3.104
121,3.104
122,3.108
123,3.108
124,3.108
125,3.108
126,3.108
127,3.108
128,3.108
129,3.108
130,3.108
131,3.108
132,3.108
133,3.108
134,3.108
135,3.108
136,3.108
137,3.112
138,3.112
139,3.112
140,3.112
141,3.112
142,3.112
143,3.112
144,3.112
145,3.112
146,3.112
147,3.112
148,3.112
149,3.112
150,3.112
151,3.112
152,3.112
153,3.112
154,3.112
155,3.112
156,3.112
157,3.116
158,3.116
159,3.116
160,3.116
161,3.116
162,3.116
163,3.116
164,3.116
165,3.116
166,3.116
167,3.116
168,3.116
169,3.116
170,3.12
171,3.12
172,3.12
173,3.12
174,3.12
175,3.12
176,3.12
177,3.12
178,3.12
179,3.12
180,3.12
181,3.12
182,3.12
183,3.124
184,3.124
185,3.124
186,3.124
187,3.124
188,3.124
189,3.124
190,3.124
191,3.124
192,3.124
193,3.124
194,3.124
195,3.124
196,3.124
197,3.124
198,3.124
199,3.124
200,3.128
201,3.128
202,3.128
203,3.128
204,3.128
205,3.128
206,3.128
207,3.128
208,3.128
209,3.128
210,3.128
211,3.128
212,3.128
213,3.128
214,3.128
215,3.128
216,3.132
217,3.132
218,3.132
219,3.132
220,3.132
221,3.132
222,3.132
223,3.132
224,3.132
225,3.132
226,3.132
227,3.132
228,3.132
229,3.132
230,3.136
231,3.136
232,3.136
233,3.136
234,3.136
235,3.136
236,3.136
237,3.136
238,3.136
239,3.136
240,3.136
241,3.136
242,3.136
243,3.14
244,3.14
245,3.14
246,3.14
247,3.14
248,3.14
249,3.14
250,3.14
251,3.14
252,3.14
253,3.14
254,3.14
255,3.14
256,3.14
257,3.14
258,3.14
259,3.14
260,3.14
261,3.144
262,3.144
263,3.144
264,3.144
265,3.144
266,3.144
267,3.144
268,3.144
269,3.144
270,3.144
271,3.144
272,3.144
273,3.144
274,3.144
275,3.148
276,3.148
277,3.148
278,3.148
279,3.148
280,3.148
281,3.148
282,3.148
283,3.148
284,3.148
285,3.148
286,3.148
287,3.148
288,3.148
289,3.148
290,3.148
291,3.148
292,3.148
293,3.148
294,3.148
295,3.148
296,3.148
297,3.148
298,3.152
299,3.152
300,3.152
301,3.152
302,3.152
303,3.152
304,3.152
305,3.152
306,3.152
307,3.152
308,3.156
309,3.156
310,3.156
311,3.156
312,3.156
313,3.156
314,3.156
315,3.156
316,3.156
317,3.156
318,3.16
319,3.16
320,3.16
321,3.16
322,3.16
323,3.16
324,3.16
325,3.16
326,3.16
327,3.16
328,3.16
329,3.164
330,3.164
331,3.164
332,3.164
333,3.164
334,3.164
335,3.164
336,3.164
337,3.164
338,3.168
339,3.168
340,3.168
341,3.168
342,3.168
343,3.168
344,3.168
345,3.168
346,3.168
347,3.168
348,3.172
349,3.172
350,3.172
351,3.172
352,3.172
353,3.172
354,3.172
355,3.172
356,3.172
357,3.172
358,3.172
359,3.172
360,3.176
361,3.176
362,3.176
363,3.176
364,3.176
365,3.176
366,3.176
367,3.176
368,3.176
369,3.176
370,3.176
371,3.176
372,3.18
373,3.18
374,3.18
375,3.18
376,3.18
377,3.18
378,3.18
379,3.18
380,3.18
381,3.18
382,3.18
383,3.18
384,3.18
385,3.18
