,0
0,2.984
1,2.992
2,3
3,3.004
4,3.008
5,3.008
6,3.012
7,3.012
8,3.016
9,3.02
10,3.02
11,3.024
12,3.024
13,3.028
14,3.032
15,3.032
16,3.032
17,3.032
18,3.032
19,3.04
20,3.04
21,3.04
22,3.04
23,3.044
24,3.044
25,3.044
26,3.044
27,3.044
28,3.048
29,3.048
30,3.048
31,3.048
32,3.048
33,3.048
34,3.052
35,3.052
36,3.052
37,3.052
38,3.052
39,3.056
40,3.056
41,3.056
42,3.056
43,3.056
44,3.056
45,3.056
46,3.056
47,3.056
48,3.056
49,3.06
50,3.06
51,3.06
52,3.06
53,3.06
54,3.06
55,3.06
56,3.06
57,3.06
58,3.06
59,3.064
60,3.064
61,3.064
62,3.064
63,3.064
64,3.064
65,3.064
66,3.064
67,3.064
68,3.064
69,3.064
70,3.064
71,3.064
72,3.068
73,3.068
74,3.068
75,3.068
76,3.068
77,3.068
78,3.068
79,3.068
80,3.068
81,3.068
82,3.068
83,3.068
84,3.068
85,3.068
86,3.068
87,3.072
88,3.072
89,3.072
90,3.072
91,3.072
92,3.072
93,3.072
94,3.072
95,3.072
96,3.072
97,3.072
98,3.072
99,3.072
100,3.076
101,3.076
102,3.076
103,3.076
104,3.076
105,3.076
106,3.076
107,3.076
108,3.076
109,3.08
110,3.08
111,3.08
112,3.08
113,3.08
114,3.08
115,3.08
116,3.08
117,3.08
118,3.08
119,3.08
120,3.08
121,3.08
122,3.08
123,3.08
124,3.084
125,3.084
126,3.084
127,3.084
128,3.084
129,3.084
130,3.084
131,3.084
132,3.084
133,3.084
134,3.084
135,3.084
136,3.084
137,3.084
138,3.084
139,3.084
140,3.084
141,3.084
142,3.084
143,3.084
144,3.084
145,3.088
146,3.088
147,3.088
148,3.088
149,3.088
150,3.088
151,3.088
152,3.088
153,3.088
154,3.088
155,3.088
156,3.088
157,3.088
158,3.088
159,3.088
160,3.092
161,3.092
162,3.092
163,3.092
164,3.092
165,3.092
166,3.092
167,3.092
168,3.092
169,3.092
170,3.092
