,0
0,2.972
1,2.984
2,2.992
3,2.996
4,3.0
5,3.004
6,3.008
7,3.008
8,3.012
9,3.016
10,3.016
11,3.02
12,3.02
13,3.02
14,3.02
15,3.024
16,3.024
17,3.024
18,3.024
19,3.024
20,3.028
21,3.032
22,3.032
23,3.032
24,3.032
25,3.032
26,3.036
27,3.036
28,3.036
29,3.036
30,3.036
31,3.036
32,3.04
33,3.04
34,3.04
35,3.04
36,3.04
37,3.04
38,3.044
39,3.044
40,3.048
41,3.048
42,3.048
43,3.052
44,3.052
45,3.052
46,3.052
47,3.052
48,3.052
49,3.056
50,3.056
51,3.056
52,3.056
53,3.056
54,3.06
55,3.06
56,3.06
57,3.06
58,3.06
59,3.06
60,3.06
61,3.06
62,3.06
63,3.064
64,3.064
65,3.064
66,3.064
67,3.064
68,3.064
69,3.064
70,3.064
71,3.064
72,3.064
73,3.064
74,3.068
75,3.068
76,3.068
77,3.068
78,3.068
79,3.068
80,3.068
81,3.068
82,3.068
83,3.068
84,3.072
85,3.072
86,3.072
87,3.072
88,3.072
89,3.072
90,3.072
91,3.076
92,3.076
93,3.076
94,3.076
95,3.076
96,3.076
97,3.076
98,3.076
99,3.076
100,3.076
101,3.076
102,3.076
103,3.076
104,3.076
105,3.076
106,3.08
107,3.08
108,3.08
109,3.08
110,3.08
111,3.08
112,3.08
113,3.08
114,3.08
115,3.08
116,3.08
117,3.08
118,3.08
119,3.08
120,3.08
121,3.08
122,3.08
123,3.084
124,3.084
125,3.084
126,3.084
127,3.084
128,3.084
129,3.084
130,3.084
131,3.084
132,3.084
133,3.084
134,3.084
135,3.084
136,3.084
137,3.084
138,3.084
139,3.084
140,3.084
141,3.084
142,3.084
143,3.088
144,3.088
145,3.088
146,3.088
147,3.088
148,3.088
149,3.088
150,3.088
151,3.088
152,3.088
153,3.088
154,3.088
155,3.088
156,3.088
157,3.088
158,3.092
159,3.092
160,3.092
161,3.092
162,3.092
163,3.092
164,3.092
165,3.092
166,3.092
167,3.092
168,3.092
169,3.092
170,3.092
171,3.092
172,3.092
173,3.092
