,pi-val
0,3.12
1,3.12
2,3.12
3,3.12
4,3.12
5,3.12
6,3.12
7,3.12
8,3.12
9,3.12
10,3.12
11,3.12
12,3.12
13,3.12
14,3.12
15,3.12
16,3.12
17,3.12
18,3.12
19,3.12
20,3.12
21,3.12
22,3.12
23,3.12
24,3.12
25,3.12
26,3.12
27,3.12
28,3.12
29,3.12
30,3.12
31,3.12
32,3.12
33,3.12
34,3.12
35,3.12
36,3.12
37,3.12
38,3.12
39,3.12
40,3.12
41,3.12
42,3.12
43,3.12
44,3.12
45,3.12
46,3.12
47,3.12
48,3.12
49,3.12
50,3.12
51,3.12
52,3.12
53,3.12
54,3.12
55,3.12
56,3.12
57,3.12
58,3.12
59,3.12
60,3.12
61,3.12
62,3.12
63,3.12
64,3.12
65,3.12
66,3.12
67,3.12
68,3.12
69,3.12
70,3.12
71,3.12
72,3.12
73,3.12
74,3.12
75,3.12
76,3.12
77,3.12
78,3.12
79,3.12
80,3.12
81,3.12
82,3.12
83,3.12
84,3.12
85,3.12
86,3.12
87,3.12
88,3.12
89,3.12
90,3.12
91,3.12
92,3.12
93,3.12
94,3.12
95,3.12
96,3.12
97,3.12
98,3.12
99,3.12
100,3.12
101,3.12
102,3.12
103,3.12
104,3.12
105,3.12
106,3.12
107,3.12
108,3.12
109,3.12
110,3.12
111,3.12
112,3.12
113,3.12
114,3.12
115,3.12
116,3.12
117,3.12
118,3.12
119,3.12
120,3.12
121,3.12
122,3.12
123,3.12
124,3.12
125,3.12
126,3.12
127,3.12
128,3.12
129,3.12
130,3.12
131,3.12
132,3.12
133,3.12
134,3.12
135,3.12
136,3.12
137,3.12
138,3.12
139,3.12
140,3.12
141,3.12
142,3.12
143,3.12
144,3.12
145,3.12
146,3.12
147,3.12
148,3.12
149,3.12
150,3.12
151,3.12
152,3.12
153,3.12
154,3.12
155,3.12
156,3.12
157,3.12
158,3.12
159,3.12
160,3.12
161,3.12
162,3.12
163,3.12
164,3.12
165,3.12
166,3.12
167,3.12
168,3.12
169,3.12
170,3.12
171,3.12
172,3.12
173,3.12
174,3.12
175,3.12
176,3.12
177,3.12
178,3.12
179,3.12
180,3.12
181,3.12
182,3.12
183,3.12
184,3.12
185,3.12
186,3.12
187,3.12
188,3.12
189,3.12
190,3.12
191,3.12
192,3.12
193,3.12
194,3.12
195,3.12
196,3.12
197,3.12
198,3.12
199,3.12
200,3.12
201,3.12
202,3.12
203,3.12
204,3.12
205,3.12
206,3.12
207,3.12
208,3.12
209,3.12
210,3.12
211,3.12
212,3.12
213,3.12
214,3.12
215,3.12
216,3.12
217,3.12
218,3.12
219,3.12
220,3.12
221,3.12
222,3.12
223,3.12
224,3.12
225,3.12
226,3.12
227,3.12
228,3.12
229,3.12
230,3.12
231,3.12
232,3.12
233,3.12
234,3.12
235,3.12
236,3.12
237,3.12
238,3.12
239,3.12
240,3.12
241,3.12
242,3.12
243,3.12
244,3.12
245,3.12
246,3.12
247,3.12
248,3.12
249,3.12
250,3.12
251,3.12
252,3.12
253,3.12
254,3.12
255,3.12
256,3.12
257,3.12
258,3.12
259,3.12
260,3.12
261,3.12
262,3.12
263,3.12
264,3.12
265,3.12
266,3.12
267,3.12
268,3.12
269,3.12
270,3.12
271,3.12
272,3.12
273,3.12
274,3.12
275,3.12
276,3.12
277,3.12
278,3.12
279,3.12
280,3.12
281,3.12
282,3.12
283,3.12
284,3.12
285,3.12
286,3.12
287,3.12
288,3.12
289,3.12
290,3.12
291,3.12
292,3.12
293,3.12
294,3.12
295,3.12
296,3.12
297,3.12
298,3.12
299,3.12
300,3.12
301,3.12
302,3.12
303,3.12
304,3.12
305,3.12
306,3.12
307,3.12
308,3.12
309,3.12
310,3.12
311,3.12
312,3.12
313,3.12
314,3.12
315,3.12
316,3.12
317,3.12
318,3.12
319,3.12
320,3.12
321,3.12
322,3.12
323,3.12
324,3.12
325,3.12
326,3.12
327,3.12
328,3.12
329,3.12
330,3.12
331,3.12
332,3.12
333,3.12
334,3.12
335,3.12
336,3.12
337,3.12
338,3.12
339,3.12
340,3.12
341,3.12
342,3.12
343,3.12
344,3.12
345,3.12
346,3.12
347,3.12
348,3.12
349,3.12
350,3.12
351,3.12
352,3.12
353,3.12
354,3.12
355,3.12
356,3.12
357,3.12
358,3.12
359,3.12
360,3.12
361,3.12
362,3.12
363,3.12
364,3.12
365,3.12
366,3.12
367,3.12
368,3.12
369,3.12
370,3.12
371,3.12
372,3.12
373,3.12
374,3.12
375,3.12
376,3.12
377,3.12
378,3.12
379,3.12
380,3.12
381,3.12
382,3.12
383,3.12
384,3.12
385,3.12
386,3.12
387,3.12
388,3.12
389,3.12
390,3.12
391,3.12
392,3.12
393,3.12
394,3.12
395,3.12
396,3.12
397,3.12
398,3.12
399,3.12
400,3.12
401,3.12
402,3.12
403,3.12
404,3.12
405,3.12
406,3.12
407,3.12
408,3.12
409,3.12
410,3.12
411,3.12
412,3.12
413,3.12
414,3.12
415,3.12
